Algorithm	recommender	attack	iteration	eps	size	best	EFD_Top10	EPC_Top10	Gini_Top10	ICov_Top10	Prec_Top10	Recall_Top10	SE_Top10	UCov	nDCG_Top10
pgd160_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	160	0.5	full	0	0.025534695465866	0.001703034386563	0.01284465238491	427.999999999999	0.002715231788079	0.027152317880795	5.94822313121388	6040	0.013433883269064
bim260_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	260	1	full	0	0.000452236016954	2.93583586994144E-05	0.045014585623509	1044	3.31125827814569E-05	0.000331125827815	7.58264281502688	6040	0.000137969094923
bim300_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	300	0.5	full	0	0.001666346850042	0.000134478258292	0.018455362808448	521	0.000165562913907	0.001655629139073	6.40677310574451	6040	0.000642490989132
bim330_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	330	0.5	full	0	0.001747785011267	0.000139670360761	0.02162845984038	569	0.000149006622517	0.001490066225166	6.64734451232565	6040	0.000664476338006
bim210_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	210	0.5	full	0	0.017358399794961	0.001252992445014	0.013660902127964	469	0.001672185430464	0.016721854304636	6.00801787092019	6040	0.008807022240367
bim190_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	190	1	full	0	0.001527948675443	0.000118908158697	0.026281497171354	701	0.000132450331126	0.001324503311258	6.86241792029124	6040	0.000559161825761
bim280_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	280	1	full	0	0.000179339507041	1.14571717265525E-05	0.046257992153078	1084	1.65562913907285E-05	0.000165562913907	7.612424400821	6040	5.22292842360478E-05
bim380_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	380	0.5	full	0	0.000813754801439	6.24746462710379E-05	0.025514089605062	753	6.62251655629139E-05	0.000662251655629	6.74477146122254	6040	0.000291530224362
pgd5_ep2.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	5	2	full	0	0.043100708130923	0.002955007210427	0.018986039985343	895.999999999999	0.004801324503311	0.048013245033113	6.08298039285689	6040	0.02245161741794
bim80_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	80	0.5	full	0	0.032808525147146	0.002175013473628	0.011852660178209	471	0.003708609271523	0.037086092715232	5.73227142248372	6040	0.017316233500762
